tweet,language,sentiment,,
b'Kaurat yung computer kanina \xf0\x9f\x99\x84',tlen,-1,,
b'@biancakkkeeee MARUPOK ANG APING',others,0,,
b'Don\xe2\x80\x99t know what to do without u',en,-1,,
b'New header! #TaylorSwiftApril26 https://t.co/M5YpAU5uQn',en,0,,
b'Sumabay pa phone ko grrr',tlen,-1,,
b'Kusang tatawag yan kung gusto ka nya kausap pre',tl,-1,,
b'@cuqzzzzz Yaan mona pariii',tl,0,,
"b'Pa end na ang period ko, feel so good and sakto sa holy week na lakad with fam. \xf0\x9f\x8d\x83\xf0\x9f\x8c\xb4\xf0\x9f\x8c\x8a'",en,1,,
b'baket ako kinakabahan',tl,-1,,
b'@PaulusAlba Bad ni nu?',tlen,0,,
b'Ano na? Wala pkong masakyan hahaha',tl,-1,,
b'Yes to the callbacks! \xe2\x9d\xa4',en,1,,
b'Pwede nyo sabihin saken harap harapan di ung pag nakatalikod ako dame nyo kuda',tl,-1,,
b'@_jllnmm Red horse for dinner \xf0\x9f\x98\x8b',en,0,,
b'Stalk stalk \xf0\x9f\x99\x88. Hanggang june pa ata ako magiging ganito.',tlen,0,,
b'If i can do it you can do it too so im believing i can do it so i will do it\n- Ranz Kyle',en,1,,
b'Gnpakitaan mo pa ko proof nga sweet ka man gali sa iba ba \xf0\x9f\x98\xb7 HHHAAAAYHMP',others,0,,
b'@seoulpop_shop #SeoulPop_GA',others ,0,,
b'Country music //',en,0,,
b'@jnnmyc @shenngy Naku\xf0\x9f\x98\xa9',tl ,-1,,
b'\xf0\x9f\x93\x8dVigan',en,0,,
b'Sugod na po hanggang thursday!! Sunday na po kami mag-oopen!! #teamvvl #raklang\n\nsa mga nag tatanong po sa cc pm nalang ako mga boss. \xe2\x98\xba https://t.co/srp348SPaX',tlen,0,,
b'Rip selpon',tlen,-1,,
b'HOOOOOIII MY HEAAAART!! IBALIK MOOOOO AAAAAHHHHHHHH WHYYYYYY HUHUHUHU',tlen,-1,,
"b'Brow, kayata sultian tikas tinuod ha? Wa juy mag dugay nimo if ingun ana ka toxic imong batasan hehe ooof'",others,0,,
b'@jstnngomez Steady tamang!',others,0,,
b'Get Well Soon Prince https://t.co/LA4p76jUeN',en,1,,
b'Bros b4 hoes \xf0\x9f\x91\x8c\xf0\x9f\x92\x99 https://t.co/FhKTIJS8tQ',en,0,,
b'Fuck toxic people!',en,-1,,
b'@kzzarceo Pero balik na baya sa sor hays',other,0,,
b'Nakakatamad naman',tl,-1,,
b'Good morning',en,1,,
b'@gecodioquino i need some distraction after watchin the quarterback \xf0\x9f\x98\x94\xe2\x9c\x8a\xf0\x9f\x8f\xbb',en,-1,,
b'@Donicasarina Hahahahahahahaha ayoko talaga yung mga taong sinusubtweet yung sarili',tlen,1,,
b'Kainnnnnnn',tl,0,,
b'sobrang sakit ng sunburn ko talaga totoo \xf0\x9f\x98\xa3',tlen,-1,,
b'Pano niyo nakakayang saktan yung taong walang ibang ginawa kundi mahalin kayo?',tl,-1,,
b'Truu #GameofThrones',en,0,,
"b""People can't take no for an answer.""",en,-1,,
b'bonne apr\xc3\xa8s-midi',others,0,,
b'Oy bad kayo. Nirereport niyo account ng kaibigan ko. Mukha ba siyang poser? \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3',tlen,-1,,
b'Hahaha\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x82',en,1,,
b'hmmm kanang tanan akong mabantayan no kay sa akoang sarili nalang pud nako gina ingon. lisod na makasakit patas lain',others,0,,
b'@RTHLYNSRB Hahahhahaha kaayo ako pud ! Tutsar sad harren roadtrip to suka hahahhahah! From sino ka to sinuka hahahhahahaha',others,0,,
b'@axelvandermaal @gamiirok1412 \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',emoji,1,,
b'\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xf0\x9f\x98\x8c',emoji,1,,
b'@violandandan Pa send',tlen,0,,
b'@jaiihernandez Lagi namah',tl,0,,
b'@Itsmejiill *plays December ave\nHANGGANG SA DULOOOOO NG ATING WALANG HANGGAAAAAAAAAAAN https://t.co/3DLBSASE9Q',tlen,0,,
b'Hahahhahaha',en,1,,
b'Bakit kaya pinalitan nya yung header nya.',tlen,0,,
b'Bat pagnagchachat si arci bat naririnig ko boses nya HAHAHAHAHAHA',tlen,1,,
b'@BooGotSwag @annalfrncr Hahahaha i cant resist charooooot. Sa panahon ni mamsh .',tlen,1,,
b'@jcrsarngrnn Hahaha. Sugdi na para maka habol ka',others,1,,
b'ahm genetic :(',en,-1,,
"b'\xe2\x80\x9cNasasaktan na ko, nauubos na ko\xe2\x80\x9d. - George'",tl,-1,,
"b'\xf0\x9f\x8d\x83 @ Mati, Davao Oriental https://t.co/oz0YSGMIzu'",en,0,,
b'Buff self where are you?',en,0,,
b'Maaan its one bad news after another',en,-1,,
b'That\xe2\x80\x99s why I really want myself to be out of here. To lessen the pain. Hahaha',en,-1,,
"b'@XellaXnavarroX isa pa to, patay na patay kay radinka HAHAHAH JOKE!!! SOBRANG PIKON NETONG BABAE NA TOOO, hahahaha pero miss kona din siya :((( kahit magkasama lang kami nung isang araw hahahahaha!!'",tlen,1,,
b'Work',en,0,,
b'HUUUY KALAMI MUKAON UG FRIES SA POTATO CORNER \xf0\x9f\x98\xad',others,0,,
b'Paiyak ako.',tl,0,,
b'Kalasingan hahahaha',tl,1,,
b'@chinitonton Hahahahaha liwat liwat jd mo sa imo ig agaw dre kidaps ton daot ug utok hahahahha',others,0,,
b'Minsan kailangan natin palayain ang taong importante saatin hindi dahil sa hindi natin sila mahal kundi kung babalik sila sa buhay natin dun pa lanq natin matatawag na mahal na mahal talaga nila tayo.',tl,-1,,
b'@nesteevynz08 Naa sa fb',tlen,0,,
b'Taeyong \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d',en,1,,
b'Ilang beses ko titignan ang buhok nya? - Kiefer\n\nHAHAHHAHAHA LY!!!! U so cuteeeee \xf0\x9f\x98\xa9',tlen,1,,
b'@rnnxcnt @yvesvanf Paano mo nalaman na walang gagawin? hahahaha bkt sabi skn may test daw? KALOKA HAHAHAHA',tlen,1,,
b'Pasok nanaman.',tl,0,,
b'@cskbdia Tara inom ba',tl,0,,
b'Day 2 \xf0\x9f\x98\x8d',en,1,,
b'Sa mga curious diyan heto na po',tlen,0,,
b'WTFREAKKKKK! \xf0\x9f\x98\xb1\xf0\x9f\x92\x98',en,1,,
b'sakit ulo kooooo huhu',tl,-1,,
b'nw: forever my girl',en,0,,
"b'She won a prize from spin it ala @kidzooonaph #RKMoments @ Kidzoona, Ayala Malls Cloverleaf https://t.co/aIRYS2pYvZ'",en,0,,
b'Makalagot lage akong ka teamates ba kay gi ingnan kog nag likay radaw ko sa training. Tana makabalo mo di sab sayon mag serve sa camp maka wala mog gana ba\xf0\x9f\x98\x9e ayaw ko ninyo ingna nga nagpa hayahay rako wa mo kabalo unsa kalisud raba \xf0\x9f\x98\xad',others,0,,
b'Everything with you is inconsistent and unsure!',en,-1,,
"b'@PNP_PCRG @pnpdpcr @pnppio Wanted person, Jason Rigon was nabbed by Labo MPS thru WOA issued by Hon. Roberto A. Escaro, Presiding Judge of Branch 64, Labo, Camarines Norte for Frustrated Murder w/ CC No. 2014-2668 dtd August 14, 2015 w/ P200K bail recommended.'",en,-1,,
b'Lapit na kami ayiiieeee',tl,1,,
b'Amen to my files',en,0,,
"b""i\xe2\x80\x99m always sad\nand i\xe2\x80\x99m always lonely\nbut i can't tell you\nthat i\xe2\x80\x99m breaking slowly""",en,-1,,
b'first time nako nag singgit og \xe2\x80\x9cfuck\xe2\x80\x9d sa harap ni mama yati kalibangon najud ko swear T-T',others,0,,
b'Yun nga lang wala silang tambayan . May katumbas na Coco milktea di na kelangan lumayo ! \xf0\x9f\x98\x82 try nyo yung flavor nilang coco milktea masarap \xf0\x9f\xa4\xa4',tlen,1,,
b'Punong puno yung ref namin \xf0\x9f\x98\xac',tl,0,,
"b""Today I only did the 'gwapo' muscles (chest &amp; arms). #forthepump #looklikeabouncer #dadbodsquad @ Anytime Fitness Iloilo https://t.co/U4ym1rvN5P""",tlen,0,,
b'@dmxxrs Puyo ouy',others,0,,
b'@Jhoe71307975 Am i realll?? Do the words i speak before you make you feellll. That the love for you will seeno endingggg? \xf0\x9f\x8e\xa4\xf0\x9f\x8e\xb6',en,0,,
b'haahahahahahahah',en,1,,
b'Oo na! Papatuli naaaaaa! Hahahahaha Jk!',tl,1,,
"b'\xe2\x80\x9cI am neturrelly a pletinum blawnde~\xe2\x80\x9d - Alaska Thunderfuck\n\nI think I achieved it! The hair I\xe2\x80\x99ve always wanted since college, I finally did it!! Platinum blonde off the bucket list!! \xf0\x9f\xa4\xa9 https://t.co/FBgkfAV2Wg'",en,1,,
b'@yhannajem THANK YOU BULIGERS!!! LAB UUUU',en,1,,
"b'Helluuu @jaez_montefalco ingat kayo sa mga gala niyo ni Mako. Lagi ka niyang nakekwento saken HAHAHAH tiwala lang, maaasam mo din yang clear skin na gusto mo \xf0\x9f\x98\x9c\xf0\x9f\x98\x98\xf0\x9f\xa7\xa1 God bless.'",tlen,1,,
b'Coachellaaaaaa',en,0,,
"b""My Twitter name already had pineapples before this whole pineapple shit alright? Don't take it the wrong way \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x82""",en,1,,
b'Youre the true king.',en,0,,
b'@abarquezsirrha @rubyrhia Tara',tl,0,,
"b'Tanay, Rizal. https://t.co/aioWxq1RAq'",en,0,,
b'Gusto ko muna mag break talaga \xf0\x9f\x98\xad',tlen,-1,,
b'Kaabang-abang.. #ALDENonEBxBULAWAN https://t.co/sctsKuC0u0',tl,0,,
b'medyo aray hahaha.',tl,0,,
"b'Alam mo ba siz masaya ang life huh wag ka mapapagod gift yan ni God sayo ang pogi ka wag mo idown yung sarili mo, may worth ka! Get well @jmcnlss'",tlen,1,,
b'GoT 8? Hmmmm. Hahahaha https://t.co/ZueeD5fHD8',en,1,,
b'@shieneahxjosue @ayrinesoloria Hahahaha pareho talaga kayo. Oof\xf0\x9f\x99\x8a',tl,1,,
b'yung ilong ko na umiiyak',tl,0,,
"b'https://t.co/O1OCpzWfLM\n""Former Senator Manuel \xe2\x80\x9cMar\xe2\x80\x9d Roxas II expressed belief that the country\xe2\x80\x99s political freedom is nothing without economic freedom."" Mar will always have my admiration. He\'s focused on what needs to be done, he knows what the country needs. #MARamingMagagawa'",en,1,,
"b'\xe2\x9c\xa8 @ Patar White Beach, Bolinao, Pangasinan https://t.co/1WNdg9HfA9'",en,0,,
b'kumusta na kaya mga kaibigan ko?',tl,-1,,
b'U must',en,0,,
b'Homealone nanaman ng dalawang araw\xf0\x9f\x99\x83',tlen,0,,
b'@jcrsarngrnn Exam? Got related?',en,0,,
b'Mood everyday:',en,0,,
b'@shndncngc Lualhati daw',tl,0,,
b'@charleneannveee Bitaw bago pani kay sweet kaayo',others,0,,
"b'Pa end na ang period ko, feel so good and sakto sa holy week na lakad with fambam. In Sha Allah \xf0\x9f\x8f\x9d\xf0\x9f\x8f\x96'",tlen,1,,
b'HAHAHAHAHAHAHA I remember mah prend \xf0\x9f\x98\x82',en,1,,
b'ANG GANDA AKSJSKSKS #GameOfThrones',tlen,1,,
b'wala naman mag kaka interesado sayo',tl,-1,,
b'mahal naman saglit lang naman ako sa school eh kaksmsnsnsmsmskaksna https://t.co/fq3C9CTSHi',tlen,-1,,
b'So everyone\xe2\x80\x99s talking about GOT Season 8..',en,0,,
b'@itsme_Ron01 Hahahahahahahahhaha kahit mga dito ang daming pogeeee',tl,1,,
b'Akala niyo kasi madali lang\xf0\x9f\x98\x8c',tl,-1,,
b'Ngayon lang aq naging masaya after exam hahahahahjahahahaha',tlen,1,,
"b'Strand, stand, space #MaineEBLentenBUKAS'",tlen,0,,
"b""@juliescribes @pseudomia @princessische @youxingx @Peanut_petal @not_yogurt_a That's our Raf! \xf0\x9f\x92\x9b""",en,1,,
"b""@shaiwarmay Hahahahaha good 'yan. Pasalubong charot""",tlen,1,,
b'You watched those tears fall from those once-lively eyes as you wonder how you got here. You asked yourself what happened and wondered who did this to you. You tried to remember the last time you genuinely felt happy. You wondered why you cry yourself to sleep every night.',en,-1,,
"b'Quezon City, Marikina, San Mateo Represent.\n\nSupport and Vote for #7 on the ballot... OFW FAMILY Party List.\n\n#AdvocacyNeverSleeps\n#7_OFWFamilyPartylist\n#ofwfamily @ Metro Manila https://t.co/dDYpljrJ5E'",en,0,,
b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82',emoji,1,,
"b'Lemon juicee, para iwas sa tuss. https://t.co/1WvWgR1G05'",tlen,0,,
b'@Kwiniii15 @DeanCrz Puro ganyan wala naman pag ser',tl,0,,
"b""As someone who has been the receiving end of belittling comments about being brown since I was a kid, let me tell you this: people are gonna be judgmental about your looks, always. You can use whitening products if you want, pero may masasabi't masasabi pa rin 'yan.""",tlen,-1,,
b'Fressshhhh! \xf0\x9f\x98\x8d\xf0\x9f\x92\x99 \nAng haharot \xf0\x9f\x98\x82\xf0\x9f\x98\x98\n@aldenrichards02\n\n\xf0\x9f\x93\xb8Kakai igs \n#ALDENonEBxBULAWAN https://t.co/o8oXugxDXW',tlen,1,,
b'@geleynuhh Loko hahaha \xf0\x9f\xa4\xa3',tl,1,,
b'Sakitay mo maka storya ba.',others,0,,
b'capiztahan gid man? lol',others,0,,
b'hindi ko matapos tapos mga binabasa ko aghhh',tl,-1,,
b'San ireregistered yung smart huhuhu sayang load.',tlen,-1,,
b'Youre the true king. #GameOfThrones',en,0,,
b'Pashort hair ka na dali',tlen,0,,
b'Medyo busy laaang\xf0\x9f\x8e\xb6\xf0\x9f\xa4\xa3',tlen,0,,
b'Ayokong mag share sa mga kaibigan ko tungkol sa pagka broken ko dahil mas lalo lang akong madurog pag marinig ko yung mga sinasabe nila\xf0\x9f\x92\x94kaya dito nalang ako mag rarant\xf0\x9f\x98\xa2',tlen,-1,,
b'Busolve \xf0\x9f\x98\x8b',others,0,,
b'Congrats guys!! Yaay! \xf0\x9f\x8e\x89\xf0\x9f\x92\x97',en,1,,
b'@rnnxcnt @yvesvanf HAHAAHAHAHA! si yves pasimuno ksi dyan hahaahaha',tl,1,,
"b""Okay, I'm bored""",en,-1,,
b'@AlexxCuatriz Kakahiya loko hahahahaha',tl,1,,
"b'Ayaw mog spoil pls, tnx labyu'",others,0,,
b'Gago gusto ko mag top haha nung January pa huling nag top ako \xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x85',tlen,1,,
b'So ung klase namin sa law napunta sa pagcongratulate sakin tas discussion sa pageant \xf0\x9f\x98\x82',tlen,1,,
"b""I'm at Jollibee in Baliuag, Bulacan https://t.co/BNDwj4vbnk""",en,0,,
b'Hala paano yun?',tl,-1,,
b'Tesla is the best car. They have remote control to drive themselves.',en,1,,
b'@LeonidasPat i love you too so much po ate girl. \xf0\x9f\x98\x98',tlen,1,,
b'Be strong Jon Snow.',en,1,,
b'badly want this day to end already \xf0\x9f\x98\xad',en,-1,,
b'puta me afk puta kc',tlen,-1,,
"b""@teddyboylocsin The UN is so outdated Mr. Locsin.We look out for #1. That's all there is.""",en,-1,,
b'ikaw ang aking paraiso',tl,1,,
"b""We've all made mistakes at work and, regardless of how we bring home our respective bacon, it's only natural that we're going to slip up from time to time \xf0\x9f\x98\xa3""",en,1,,
b'You are beautiful! \xe2\x9d\xa4\xef\xb8\x8f No matter what skin color and size you\xe2\x80\x99re in. Wear it proud! \xf0\x9f\x98\x8a \n#beachlife\xf0\x9f\x8c\xb4 #batanesoftheeast #dinggalanadventure \n\n\xf0\x9f\x93\xb8 belloinatividad @\xe2\x80\xa6 https://t.co/VsEJBxKT8e',en,1,,
b'@ACabigon_ https://t.co/A8c2QW7HAS',others,0,,
"b'\xf0\x9f\x93\xba ""Bulawan."" \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x99\x82\xf0\x9f\x98\x89'",others,0,,
"b'@ADL_I7C Trying to download jay, hahaha paki send na lng sa messengerrrrr'",tlen,1,,
b'Bright minds.',en,0,,
b'https://t.co/zY4LQmL1PX',others,0,,
b'Kelsey Merritt has spoken',en,0,,
b'positivity',en,0,,
b'mushroom fries \xf0\x9f\xa5\xb0\xe2\x9d\xa3\xf0\x9f\xa4\xaa',en,0,,
b'@itshirashai ganundaw yun e last yr',tlen,0,,
b'Aww line sa encouter \xf0\x9f\x98\xad',tlen,-1,,
b'you\xe2\x80\x99re always welcome coach!!!!',en,1,,
b'Baka lola \xf0\x9f\x98\x86',tl,1,,
"b""Well it's obvious now that studying for 2 days is still not enough.""",en,-1,,
b'Dalawa nalang',tl,0,,
"b'Wag namana sanaaa jan nakayo sa facebook, Lamunin niyo na yan'",others,0,,
b'@seoulpop_shop @byuncres @roxxxyylalala \nthanks for GA. \xf0\x9f\x98\x8a\xe2\x9d\xa4',en,1,,
"b'For some of us na preboards nalang ang hindi pa passed, we were given 2 options:'",tlen,0,,
b'@chlongskiee Haha ug sundo\xe2\x80\x99on ko nimo joke abot rata centrio',others,0,,
b'still d best',en ,0,,
b'I will win brand bew car today. hahaha f na f ih! #hopia',tlen,1,,
b'Ang banassssss',tl,-1,,
b'Very malinis and tubig ha. \xf0\x9f\x98\x91',tlen,1,,
b'Sana wala munang away ngayon naku',tl,0,,
b'aypag buot kay kakita kog tiger beer sa taas #NewProfilePic https://t.co/nmpO192uoA',tlen,1,,
b'@Alex_GoldenBoii Ahahaha trip nya mag versabot sis ahaha',tlen,1,,
b'@kolinnelb @hnyalvarez Tigilan niyo ko. 6 years! Hmph',tlen,-1,,
b'Euron as he passes by the Mountain while seeing Cersei smirk https://t.co/MBidrDmdQv',en,0,,
"b'#NewProfilePic\nLove yourself for who you are, and trust me, if you are happy from within, you are the most beautiful person, and your smile is your best asset.\n\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xf0\x9f\xa4\x98\xf0\x9f\xa4\x98\xf0\x9f\xa4\x98\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\xa4\x98\xf0\x9f\xa4\x98\xf0\x9f\xa4\x98'",en,1,,
b'Bat parang ako pa yung naging ano haha',tl,0,,
b'Home alone \xf0\x9f\xa4\xad',en,0,,
b'@pegicornswizzle Ikakasal na kasi sya',tl,0,,
b'Angvsakit sa braso mag push up. Whyyyyy',tlen,-1,,
b'@rxnnbeltran Lahat naman kilala mo\xf0\x9f\x99\x84\xf0\x9f\x98\x82',tl,0,,
"b""I'm not afraid of warewolves or vampires or haunted hotels. I'm afraid of what real human beings do to others real human beings.""",en,0,,
